Description,TotalSalesDollars,ProfitMargin
Atalon Pauline's Cuvee Red N,2358.8199999999997,90.5804597213861
Atalon Svgn Bl Napa Valley,2118.94,63.47230218883026
Atamisque Assemblage,5344.379999999986,27.634262533726822
Atholl Brose Scotch Liqueur,329.94,27.532278596108384
Atlas Peak Cab Svgn,559.84,60.80308659617034
Attitude 13 Rose Jolivet,2350.3199999999974,88.79641921100104
Au Bon Climate Pnt Nr,2155.0200000000004,22.770090300786087
Auchentoshan Classic Scotch,359.88,94.4009114149161
Austin Cocktails Vodkarita,2353.4299999999976,91.54128229860244
Avante Tinto Fino Ribera Del,892.53,32.43812532912059
Aveleda Follies,3429.359999999984,90.13810156997219
Aviary Chard,215.88,42.301278488048915
Aviary Red Blend,5894.719999999987,16.062510178600316
Avion Espresso,202.93,39.97930320800276
Avion Tasting Flight 3/375mL,9852.959999999974,46.84927169094348
Ayala Brut Majeur,8117.149999999981,24.95654262887821
Ayala Rose Majeur,2607.5599999999995,60.66437589163816
B & B Dom VAP,1319.4800000000002,97.25497923424379
B & G CDP Rose,2572.729999999996,14.260726932091487
B & G Cotes du Rhone Red,155.88,49.03772132409546
B & G Pnt Nr Bistro,6114.809999999949,34.73877356777991
B & G Sancerre Svgn Bl,243.91000000000003,15.32942478783158
B & G Sauternes,6997.139999999953,34.17081836293075
B Side Cab Svgn,887.6300000000001,1.5806135439316027
B Side Napa Vly Red,1259.4600000000003,46.73907865275596
BR Cohn Olive Hill Cab Svgn,99.98,33.32666533306662
BV Beaurouge Red,6880.409999999985,84.3936625869679
BV Coastal Estate Moscato,164.85,57.77979981801637
BV Coastal Estate Red,450.5900000000001,1.569053907099604
BV Coastal Estate Svgn Bl,560.35,52.77951280449719
BV GDL Private Rsv Cab Svgn,4799.5999999999985,28.60405033752812
Bacardi 1873 Solera Rum,2353.4299999999985,89.38145600251546
Bacardi 8 Gift Set,869.6500000000001,91.7898004944518
Bacardi Anejo Mexican Rum,2476.2299999999996,59.057115049894385
Bacardi Artic Grape Rum,195.85999999999999,51.046665985908305
Bacardi Coconut,5752.889999999728,97.84282334617895
Bacardi Dragon Berry,3203.6399999999408,94.76345656815364
Bacardi Dragon Berry Trav,709.2900000000003,87.92031468087808
Bacardi Limon Traveler,409.59000000000015,96.4403427818062
Bacardi O Orange Rum,2294.350000000001,23.80619417121967
Bacardi Oakheart Spiced Trav,399.6000000000002,98.13313313313314
